code,name
547069,Бакиханов
547112,Баку-Пассажирская
547105,Баку-Товарная
547603,Баку-Товарная (на терминал)
549204,Баку-Товарная-Паром
547302,Баку-Торговая Пристань
547209,Баку-Торговая Пристань (перев.)
547406,Баку-Торговая Пристань (эксп.)
546808,Баладжары
554804,Баргушеты
555309,Барда
551308,Бартаз (рзд)
557501,Бархударлы
557709,Бархударлы (эксп.)
550700,Башбаши
556316,Баян
559704,Белоканы
558631,Беюк-Кясик
558701,Беюк-Кясик (эксп.)
546545,Бильгя
547707,Бина
552103,Ватаги
546302,Гаджи Зейналабдин
554202,Гаджигабул
550822,Гара Борк
554310,Гарасу
554402,Гейлярчель
553801,Гейшабан
555900,Геран
545701,Гильгиль-Чай
548409,Гобустан
547800,Говсан
551806,Горадиз
546600,Гюздек
556208,Гянджа
556246,Гянджачай
556000,Далимамедлы
551906,Дашбурун
553303,Джалилабад
550004,Джульфа
550108,Джульфа (эксп.)
556903,Дзегам
545608,Дивичи
556803,Долляр
547904,Дюбенды (рзд)
555101,Евлах
547726,Ени-Сураханы (рзд)
547529,Забрат II (рзд)
556104,Зазалы
559600,Закаталы
545913,Зорат
552207,Имишли
557408,Казах
553500,Казумлы
547675,Кала
554005,Камышевка
548201,Карадаг
551007,Карчивань
551401,Кафан
559507,Кахи
545805,Кизил-Бурун
546009,Килязи
547001,Кишлы
557003,Ковляр
545203,Кусар-Чай
556301,Кущинский Мост
556405,Кызылджа
556509,Кырыхлы
554607,Кюрдамир
557605,Кюрок-Чай
555205,Кючарли
545010,Леджет
553905,Ленкорань
553604,Лиман
555008,Ляки
553407,Масаллы
551702,Махмудлы
551100,Мегри
555703,Мингечаур
555807,Мингечаур-Город
551204,Минджевань
554306,Муган
552601,Мюрсалы
554700,Мюсюсли
549007,Наваги
550803,Нахичевань
553207,Нефтечала
550907,Ордубад
552620,Османлы-Новые
554325,Падар
547919,Пираллах
549100,Пирсогат
546507,Пиршаги (рзд)
558400,Пойлы
548108,Пута
552300,Саатлы
552508,Сабир
555146,Сабухи (рзд)
554336,Сагири
558504,Салахлы
553106,Сальяны
548305,Сангачалы
548606,Сангачалы (перев.)
552404,Сараджаляр
545504,Сарван
545909,Сиазань
546102,Ситал-Чай
558608,Союк-Булак
552902,Султанлы
546403,Сумгаит
546441,Сумгаит-Город
546456,Сумгаит-Новый (рзд)
555402,Тазакенд (рзд)
557126,Татлу
557107,Тауз
554908,Уджары
551609,Халафли (рзд)
552001,Халач
559300,Ханабад
555608,Ханкенди
545307,Хачмас
545107,Худат
546704,Хырдалан
545400,Чархи
556706,Шамкир
550502,Шарур
550409,Шарур (эксп.)
550606,Шахтахты
559403,Шеки
546901,Ширван
548004,Эйбат
545006,Ялама
547508,Ялама (эксп.)
546206,Яшма
903115,90311
903127,90312
904349,90434
904353,90435
904387,90438
904423,90442
904546,90454
904550,90455
905712,90571
905746,90574
906019,90601
906518,90651
906522,90652
906537,90653
906541,90654
920303,92030
923138,92313
923227,92322
924610,92461
924910,92491
925129,92512
925824,92582
926225,92622
930413,93041
936026,93602
936068,93606
936087,93608
922205,Азей
920040,Акульшет
920820,Алгашет
920708,Алзамай
903929,Ангаракан (рзд)
932029,Ангарск
933200,Ангасолка
903505,Ангоя
933144,АНДРИАНОВСКАЯ
924906,Анзеби
924501,Багульная
933604,Байкал
933708,Байкал (перев.)
933801,Байкальск
920407,Байроновка
936301,Бараты
932601,Батарейная
931609,Белая
920106,Бирюсинск
933002,Большой Луг
934659,БОЯРСКИЙ
924605,Братск
921700,Будагово
925400,Видим
924408,Вихоревка
932705,Военный Городок
934005,Выдрино
935987,Ганзурино
925100,Гидростроитель
933125,ГЛУБОКАЯ
930521,Головинская
932902,Гончарово
932616,ГОРКА
938203,Горхон
905727,Горячий Ключ (рзд)
931312,Гришево
936405,Гусиное Озеро
903187,Дабан
903011,ДЕЛЬБИЧИНДА (РЗД)
936602,Джида
926314,ДИАБАЗОВЫЙ (РЗД)
935402,Дивизионная
930818,Жаргон
930625,Забитуй
936208,Загустай
937802,Заиграево
930409,Залари
920905,Замзор
935703,Заудинский
902201,Звездная
923104,Зима
930663,ЗОЛОТУХИНО
932404,Зуй
926102,Игирма
924003,Изыкан
904508,Икабья
904531,Икабьякан (рзд)
938006,Илька
930108,Иркутск-Пассажирский
930004,Иркутск-Сортировочный
921005,Камышет
931401,Касьяновка
932809,Кая
934185,Кедровая-Сибирская
925307,Кежемская
904781,Кемен (рзд)
924200,Кешево
938311,Кижа
922900,Кимильтей
902702,Киренга
932005,Китой
932103,Китой-Комбинатская
903401,Кичера
934503,Клюевка
925701,Коршуниха-Ангарская
921908,Котик
906503,Куанда
922703,Куйтун
933407,Култук
933500,Култук (перев.)
903007,Кунерма
930606,Кутулик
903806,Кюхельбекерская
920021,ЛАВРЕНТЬЕВО
927105,Лена
927209,Лена (перев.)
927800,Лена-Восточная
904334,Леприндо
935101,Лесовозный (пп)
931721,ЛУЖКИ
931007,Макарьево
931100,Макарьево (перев.)
931702,Мальта
933337,МАНГУТАЙ
932508,Мегет
935807,Медведчиково
926808,Мерзлотная
922604,Мингатуй
934325,Мишиха
903242,МОЛОКОН
924427,Моргудон (рзд)
935309,Мостовой
933820,Мурино
904527,Мурурин
904758,МУРУРИН
934607,Мысовая
936903,Наушки
937200,Наушки (эксп. ДСВН)
937304,Наушки (эксп. КЖД)
937003,"Наушки (эксп. МТЗ,кроме С.-Батор)"
937107,Наушки (эксп. МТЗ:Улан-Батор и далее)
902502,Небель (рзд)
923477,Невельская
903308,Нижнеангарск
921202,Нижнеудинск
902305,Ния
904300,Новая Чара
938108,Новоильинский
923706,Новочунка
903609,Новый Уоян
922101,Нюра
920642,Облепиха
902803,Окунайский (рзд)
904003,Окусикан
904512,Олонгдо (рзд)
932921,ОЛХА
937709,Онохой
933233,Оп Слюдянка II
930979,ОСТ. ПУНКТ 5058 КМ
931416,ОСТ. ПУНКТ 5068 КМ
937658,ОСТ. ПУНКТ 5664 КМ
927158,ОСТ. ПУНКТ 697 КМ
925006,Падунские Пороги
923509,Парчум
925203,Пашенный
923000,Перевоз
934330,Переемная
933093,Подкаменная
931505,Половина
934700,Посольская
920500,РАЗГОН
920515,Разгон
923265,Разъезд №  2
923602,Разъезд №  9
925909,Речушка
926206,Рудногорск
926901,Ручей (рзд)
935900,Саянтуй
903204,Северобайкальск
905708,Северомуйск
934908,Селенга
936509,Селендума
926704,Семигорск
925716,СИБИРИШНАЯ
933303,Слюдянка I
933106,Слюдянка II
923800,Сосновые Родники
925504,Сохатый (рзд)
925608,Среднеилимская
936104,Сульфат
932207,Суховская
932300,Суховская-Южная
904368,СЮЛЬБАН (РЗД)
920002,Тайшет
904404,Таксимо
935008,Таловка
937605,Тальцы
934221,Танхой
924107,Таргиз
935205,Татаурово
931900,Тельма
934804,Тимлюй
923301,Топорок
924215,Торея
926306,Тубинская
922008,Тулун
922506,Тулюшка
924304,Турма
930305,Тыреть
921306,Уда II
921109,Ук
906043,Уланмакит (рзд)
935506,Улан-Удэ
936000,Улан-Удэ (перев.)
906024,УЛЬГИ (РЗД)
902907,Улькан
902911,Умбелла (рзд)
931806,Усолье-Сибирское
926403,Усть-Илимск
927035,Усть-Кут
921804,Утай
933750,Утулик
936807,Харанхой
922807,Харик
921409,Хингуй
925805,Хребтовая
921503,Худоеланская
936706,ХУЖИР
936725,Хужир
937906,Челутай
930907,Черемхово
925523,ЧЕРНАЯ
923142,ЧИРКИНО
902235,Чудничный (рзд)
923903,Чуна
935601,Шалуты
921607,Шеберта
922402,Шерагуль
922309,Шуба
935737,ЮЖЛАГ
920203,Юрты
927603,Якурим
927707,Якурим (перев.)
927001,Янталь
994203,99420
994504,99450
997907,Альба
992602,Арсентьевка
996603,Буюклы
991900,Быков-Сахалинский
995808,Вахрушев-Сахалинский
996105,Вахрушев-Угольный
992509,Взморье
996001,Водокачка
993018,Горнозаводск
992000,Долинск
996711,Ельники-Сахалинские
995403,Заозерное-Сахалинское
994805,Ильинск-Сахалинский
994716,Ильинск-Южный
990005,Корсаков
990109,Корсаков (перев.)
990202,Корсаков (эксп.)
995507,Макаров
995615,Марково-Сахалинское
995704,Марково-Сахалинское
993107,Невельск
993624,Николайчук
991205,Новоалександровка
994523,Новоселово-Сахалинское
998100,Ноглики
998007,Ныш
996406,Олень-Сахалинский
997108,Онор
997926,Оп Ныш
997409,Палево
994701,Пензенская
996904,Победино-Сахалинское
993225,Поляково
996302,Поронайск
995206,Пугачево-Сахалинское
994010,Симаково
991402,Синегорск
997708,Слава
996800,Смирных-Сахалинский
992405,Советское-Сахалинское
991506,Сокол
997324,Таулан
995102,Тихая
994608,Томари
995600,Туманово-Сахалинское
997502,Тымовск
991807,Углезаводск
997606,Усково
993304,Холмск
993408,Холмск (перев.)
993501,Холмск (эксп.)
993319,Холмск-Северный
990607,Христофоровка
994400,Чехов-Сахалинский
992706,Шахта-Сахалинская
997004,Южная Хандаса
990700,Южно-Сахалинск
991101,Южно-Сахалинск-Грузовой
994101,Яблочная
3600,360
6505,650
760923,76092
765040,76504
765209,76520
765321,76532
766216,76621
766409,76640
767238,76723
767628,76762
769426,76942
770029,77002
770601,77060
770635,77063
772931,77293
773328,77332
774119,77411
774227,77422
774231,77423
774316,77431
774710,77471
776307,77630
780904,78090
781466,78146
782011,78201
784040,78404
784214,78421
786928,78692
787104,78710
791701,79170
793514,79351
794709,79470
796122,79612
796141,79614
796175,79617
796186,79618
796512,79651
796527,79652
796531,79653
796565,79656
796620,79662
796635,79663
796673,79667
796714,79671
797110,79711
797322,79732
797727,79772
797750,79775
798715,79871
778800,Агириш
785403,Адуй
788408,Азанка
772908,Азиатская
792831,Аксариха
786506,Алапаевск
784731,Алтынай
778209,Алябьево
776504,Андриановичи
767331,АНТАБАРЫ (РЗД)
780800,Аппаратная
794409,Арамиль
767219,АРХИПОВКА (РЗД)
793800,Асбест
782401,Атиг
778001,Атымья
771407,Аять
786807,Бабушкино
795558,Багаряк
793503,Баженово
769106,Балахонцы
760900,Балмошная
795416,БАРАБАНОВО (ПП)
772503,Баранчинская
767609,Баская
761405,Бахаревка
792403,Бахметское
785005,Березит
769303,Березники
769002,Березники-Сортировочная
790732,БЕРКУТСКИЙ (ОБП)
764511,Бизь
781907,Билимбай
766606,Бисер
773205,Благодать
784426,Блокпост  17 км
784816,Блокпост  29 км
760402,Блочная
790709,Богандинская
793209,Богданович
782007,Бойцы
765001,Боковая
775709,Бокситы
762253,Бородулино
786900,Бубчиково
784905,Буланаш
770705,Быньговский (обп)
791102,Вагай
770300,Вагонозавод
765637,Валежная
762304,Верещагино
771200,Верх-Нейвинск
778509,Верхнекондинская
771002,Верхнетагильская
773309,Верхняя
771801,Верхняя Салда
774000,Верхотурье
766822,Вижай
790605,Винзили
764403,Вогулка
790408,Войновка
790304,Войновка (перев.)
779108,Вонъеган
775200,Воронцовка
780637,Восточная
768809,Всеволодо-Вильва
767100,Всесвятская
772715,Встреча
783423,Вырубки (рзд)
773351,Выя
773703,ВЫЯ
793904,Гагарский
778406,Геологическая
776913,Глухарный
765302,Голованово
791400,Голышманово
772607,Гороблагодатская
762569,Григорьевская
773402,ГРЭС
793247,ГРЯЗНОВСКАЯ
767902,Губаха
796601,Демьянка
764704,ДИВЬЯ
764757,Дивья
764901,Добрянка
774301,Дровяное
782505,Дружинино
799506,Ево-Яха (до Сывдармы (стр))
766413,Европейская
785908,Егоршино
770902,Ежевая
780506,Екатеринбург-Пассажирский
780001,Екатеринбург-Сортировочный
780302,Екатеринбург-Товарный
793105,Еланский
763608,Ергач
787000,Ерзовка
790906,Заводоуковская
767524,ЗАГОТОВКА (РЗД)
772429,Задание
769708,Заполье-Уральское
769407,Заячья Горка
771708,Ива
777102,Ивдель I
777117,Ивдель II
793711,Изумруд
783508,Илим
796137,ИЛЬДАР
772950,ИМЕННОВСКИЙ (РЗД)
787804,Ирбит
771500,Исеть
794112,Исток
775003,Источник
791608,Ишим
762037,Кабалуд
760506,Кабельная
774320,Каква (рзд)
769203,Калийная
769017,Калийная
766108,Калино
795100,Каменск-Уральский
792901,Камышлов
791504,Карасульская
773949,Карелино
792244,Кармак
775304,Карпинск
787208,Карпунино
795702,Картымская
773008,Качканар
785109,Кедровка
761903,Кез
781004,Керамик
768404,Кизел
763805,Кишерть
775408,Климки
798202,Когалым
766907,Койва
766926,Койва
793001,Кокшаровский
795308,Колчедан
794305,Кольцово
794606,Колюткино
765707,Комарихинская
779004,Коммунистическая
778904,Конда
785306,Копалуха
768601,Копи
786402,Коптелово
764206,Кордон
784002,Кормовище
799101,Коротчаево (до Сывдармы (стр))
773900,Косолманка
785518,Костоусово
794004,Косулино
782115,Коуровка
760309,Краснокамск
785857,Красные Орлы
775107,Красный Железняк
4406,КРГСОР-НУРИН
790821,КРИВОЛУКСКИЙ (ОБП)
772005,Крутая
785414,Крутиха
782702,Кузино
762022,Кузьма
763100,Кукуштан
788709,Куминская
783940,Кумыш
795007,Кунавино
784500,Кунара
763701,Кунгур
760101,Курья
766042,Кутамыш
796902,Куть-Ях
764827,Кухтым
773101,Кушва
783809,Кын
766707,Лаки
791307,ЛАМЕНСКАЯ
791330,Ламенская
797604,Лангепасовский(рзд)
777009,Лангур
760116,ЛАСЬВА
770258,Лая
760604,Левшино
760703,Левшино (перев.)
760807,Левшино (эксп.)
764114,Лек
775605,Лесная Волчанка
794201,Лечебный
798912,Лимбей (рзд)
798503,Лимбей (рзд)
788605,Лобазиха
774208,Лобва
787903,Лопатково
768712,Луньевка
784208,Лысьва
777723,Лявдинка
765406,Ляды
774104,Ляля
766201,Лямино
784303,Малорефтинская
792070,Мангут
778020,Мансийский (рзд)
794729,Марамзино
776608,Марсяты
791805,Маслянская
788535,Матюшино
797801,Мегион
762408,Менделеево
773506,Мир
782204,Михайловский Завод
785202,Монетная
770527,Монзино
776059,Морозково
788802,Мортка
771905,Моховой
781220,Мраморская
761706,Мулянка
793603,Муранитный
771303,Мурзинка
767806,Нагорная
784106,Невидимка
770809,Невьянск
786224,Незевай
770851,Нейва
771106,Нейво-Рудянская
798005,Нижневартовск I
797905,Нижневартовск II
782308,Нижнесергинская
770103,Нижний Тагил
772202,Нижняя Салда
773601,Нижняя Тура
791006,Новая Заимка
776326,Новая Заря
791909,Новоандреевский
799402,Новый Уренгой (до Сывдармы (стр))
798306,Ноябрьск I
798400,Ноябрьск II
793302,НПЫШМИНСКАЯ
762906,Нытва
779201,Нягань
768103,НЯР
768118,Няр
792032,Обг. Пункт № 46
768315,Обогатитель
760205,Оверята
790501,Озеро-Андреевское
791203,Омутинская
761602,Осенцы
785984,ОСТ. ПУНКТ 148 КМ
